|intrinsics|ASM|XED_iform|ISA|CPUID|form|ret|op
0|_mm256_add_pd|VADDPD|VADDPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
1|_mm256_add_ps|VADDPS|VADDPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
2|_mm256_addsub_pd|VADDSUBPD|VADDSUBPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
3|_mm256_addsub_ps|VADDSUBPS|VADDSUBPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
4|_mm256_and_pd|VANDPD|VANDPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
5|_mm256_and_ps|VANDPS|VANDPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
6|_mm256_andnot_pd|VANDNPD|VANDNPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
7|_mm256_andnot_ps|VANDNPS|VANDNPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
8|_mm256_blend_pd|VBLENDPD|VBLENDPD_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256d|__m256d,__m256d,const int,
9|_mm256_blend_ps|VBLENDPS|VBLENDPS_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256|__m256,__m256,const int,
10|_mm256_blendv_pd|VBLENDVPD|VBLENDVPD_YMMqq_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm, ymm|__m256d|__m256d,__m256d,__m256d,
11|_mm256_blendv_ps|VBLENDVPS|VBLENDVPS_YMMqq_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm, ymm|__m256|__m256,__m256,__m256,
12|_mm256_div_pd|VDIVPD|VDIVPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
13|_mm256_div_ps|VDIVPS|VDIVPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
14|_mm256_dp_ps|VDPPS|VDPPS_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256|__m256,__m256,const int,
15|_mm256_hadd_pd|VHADDPD|VHADDPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
16|_mm256_hadd_ps|VHADDPS|VHADDPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
17|_mm256_hsub_pd|VHSUBPD|VHSUBPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
18|_mm256_hsub_ps|VHSUBPS|VHSUBPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
19|_mm256_max_pd|VMAXPD|VMAXPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
20|_mm256_max_ps|VMAXPS|VMAXPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
21|_mm256_min_pd|VMINPD|VMINPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
22|_mm256_min_ps|VMINPS|VMINPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
23|_mm256_mul_pd|VMULPD|VMULPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
24|_mm256_mul_ps|VMULPS|VMULPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
25|_mm256_or_pd|VORPD|VORPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
26|_mm256_or_ps|VORPS|VORPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
27|_mm256_shuffle_pd|VSHUFPD|VSHUFPD_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256d|__m256d,__m256d,const int,
28|_mm256_shuffle_ps|VSHUFPS|VSHUFPS_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256|__m256,__m256,const int,
29|_mm256_sub_pd|VSUBPD|VSUBPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
30|_mm256_sub_ps|VSUBPS|VSUBPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
31|_mm256_xor_pd|VXORPD|VXORPD_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256d|__m256d,__m256d,
32|_mm256_xor_ps|VXORPS|VXORPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256,
33|_mm_cmp_pd|VCMPPD|VCMPPD_XMMdq_XMMdq_XMMdq_IMMb|AVX|['AVX']|xmm, xmm, xmm, imm8|__m128d|__m128d,__m128d,const int,
34|_mm256_cmp_pd|VCMPPD|VCMPPD_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256d|__m256d,__m256d,const int,
35|_mm_cmp_ps|VCMPPS|VCMPPS_XMMdq_XMMdq_XMMdq_IMMb|AVX|['AVX']|xmm, xmm, xmm, imm8|__m128|__m128,__m128,const int,
36|_mm256_cmp_ps|VCMPPS|VCMPPS_YMMqq_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, ymm, imm8|__m256|__m256,__m256,const int,
37|_mm_cmp_sd|VCMPSD|VCMPSD_XMMdq_XMMdq_XMMq_IMMb|AVX|['AVX']|xmm, xmm, xmm, imm8|__m128d|__m128d,__m128d,const int,
38|_mm_cmp_ss|VCMPSS|VCMPSS_XMMdq_XMMdq_XMMd_IMMb|AVX|['AVX']|xmm, xmm, xmm, imm8|__m128|__m128,__m128,const int,
39|_mm256_cvtepi32_pd|VCVTDQ2PD|VCVTDQ2PD_YMMqq_XMMdq|AVX|['AVX']|ymm, xmm|__m256d|__m128i,
40|_mm256_cvtepi32_ps|VCVTDQ2PS|VCVTDQ2PS_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256|__m256i,
41|_mm256_cvtpd_ps|VCVTPD2PS|VCVTPD2PS_XMMdq_YMMqq|AVX|['AVX']|xmm, ymm|__m128|__m256d,
42|_mm256_cvtps_epi32|VCVTPS2DQ|VCVTPS2DQ_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256i|__m256,
43|_mm256_cvtps_pd|VCVTPS2PD|VCVTPS2PD_YMMqq_XMMdq|AVX|['AVX']|ymm, xmm|__m256d|__m128,
44|_mm256_cvttpd_epi32|VCVTTPD2DQ|VCVTTPD2DQ_XMMdq_YMMqq|AVX|['AVX']|xmm, ymm|__m128i|__m256d,
45|_mm256_cvtpd_epi32|VCVTPD2DQ|VCVTPD2DQ_XMMdq_YMMqq|AVX|['AVX']|xmm, ymm|__m128i|__m256d,
46|_mm256_cvttps_epi32|VCVTTPS2DQ|VCVTTPS2DQ_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm|__m256i|__m256,
47|_mm256_extractf128_ps|VEXTRACTF128|VEXTRACTF128_XMMdq_YMMdq_IMMb|AVX|['AVX']|xmm, ymm, imm8|__m128|__m256,const int,
48|_mm256_extractf128_pd|VEXTRACTF128|VEXTRACTF128_XMMdq_YMMdq_IMMb|AVX|['AVX']|xmm, ymm, imm8|__m128d|__m256d,const int,
49|_mm256_extractf128_si256|VEXTRACTF128|VEXTRACTF128_XMMdq_YMMdq_IMMb|AVX|['AVX']|xmm, ymm, imm8|__m128i|__m256i,const int,
50|_mm256_extract_epi32|seq|seq|AVX|['AVX']||__int32|__m256i,const int,
51|_mm256_extract_epi64|seq|seq|AVX|['AVX']||__int64|__m256i,const int,
52|_mm256_zeroall|VZEROALL|VZEROALL|AVX|['AVX']||void|void,
53|_mm256_zeroupper|VZEROUPPER|VZEROUPPER|AVX|['AVX']||void|void,
54|_mm256_permutevar_ps|VPERMILPS|VPERMILPS_YMMqq_YMMqq_YMMqq|AVX|['AVX']|ymm, ymm, ymm|__m256|__m256,__m256i,
55|_mm_permutevar_ps|VPERMILPS|VPERMILPS_XMMdq_XMMdq_XMMdq|AVX|['AVX']|xmm, xmm, xmm|__m128|__m128,__m128i,
56|_mm256_permute_ps|VPERMILPS|VPERMILPS_YMMqq_YMMqq_IMMb|AVX|['AVX']|ymm, ymm, imm8|__m256|__m256,int,
57|_mm_permute_ps|VPERMILPS|VPERMILPS_XMMdq_XMMdq_IMMb|AVX|['AVX']|xmm, xmm, imm8|__m128|__m128,int,
